origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-01,hospital admissions,2026-03-29,1,CZ,median,,4.328939914703369
2026-04-01,hospital admissions,2026-04-05,2,CZ,median,,4.520188808441162
2026-04-01,hospital admissions,2026-04-12,3,CZ,median,,4.842229843139648
2026-04-01,hospital admissions,2026-04-19,4,CZ,median,,5.286643028259277
2026-04-01,hospital admissions,2026-03-29,1,CZ,quantile,0.01,0.0
2026-04-01,hospital admissions,2026-04-05,2,CZ,quantile,0.01,0.0
2026-04-01,hospital admissions,2026-04-12,3,CZ,quantile,0.01,0.0
2026-04-01,hospital admissions,2026-04-19,4,CZ,quantile,0.01,0.0
2026-04-01,hospital admissions,2026-03-29,1,CZ,quantile,0.025,0.0
2026-04-01,hospital admissions,2026-04-05,2,CZ,quantile,0.025,0.0
2026-04-01,hospital admissions,2026-04-12,3,CZ,quantile,0.025,0.0
2026-04-01,hospital admissions,2026-04-19,4,CZ,quantile,0.025,0.0
2026-04-01,hospital admissions,2026-03-29,1,CZ,quantile,0.05,0.0
2026-04-01,hospital admissions,2026-04-05,2,CZ,quantile,0.05,0.0
2026-04-01,hospital admissions,2026-04-12,3,CZ,quantile,0.05,0.0
2026-04-01,hospital admissions,2026-04-19,4,CZ,quantile,0.05,0.0
2026-04-01,hospital admissions,2026-03-29,1,CZ,quantile,0.1,0.0
2026-04-01,hospital admissions,2026-04-05,2,CZ,quantile,0.1,0.0
2026-04-01,hospital admissions,2026-04-12,3,CZ,quantile,0.1,0.0
2026-04-01,hospital admissions,2026-04-19,4,CZ,quantile,0.1,0.0
2026-04-01,hospital admissions,2026-03-29,1,CZ,quantile,0.15,0.0
2026-04-01,hospital admissions,2026-04-05,2,CZ,quantile,0.15,0.0
2026-04-01,hospital admissions,2026-04-12,3,CZ,quantile,0.15,0.0
2026-04-01,hospital admissions,2026-04-19,4,CZ,quantile,0.15,0.0
2026-04-01,hospital admissions,2026-03-29,1,CZ,quantile,0.2,1.0165172815322876
2026-04-01,hospital admissions,2026-04-05,2,CZ,quantile,0.2,0.8711327314376831
2026-04-01,hospital admissions,2026-04-12,3,CZ,quantile,0.2,0.850968062877655
2026-04-01,hospital admissions,2026-04-19,4,CZ,quantile,0.2,0.9183471202850342
2026-04-01,hospital admissions,2026-03-29,1,CZ,quantile,0.25,1.6182737946510315
2026-04-01,hospital admissions,2026-04-05,2,CZ,quantile,0.25,1.526926577091217
2026-04-01,hospital admissions,2026-04-12,3,CZ,quantile,0.25,1.5706029832363129
2026-04-01,hospital admissions,2026-04-19,4,CZ,quantile,0.25,1.7174793481826782
2026-04-01,hospital admissions,2026-03-29,1,CZ,quantile,0.3,2.2200303077697754
2026-04-01,hospital admissions,2026-04-05,2,CZ,quantile,0.3,2.182720422744751
2026-04-01,hospital admissions,2026-04-12,3,CZ,quantile,0.3,2.2902379035949707
2026-04-01,hospital admissions,2026-04-19,4,CZ,quantile,0.3,2.5166115760803223
2026-04-01,hospital admissions,2026-03-29,1,CZ,quantile,0.35,2.803897142410278
2026-04-01,hospital admissions,2026-04-05,2,CZ,quantile,0.35,2.8168152570724483
2026-04-01,hospital admissions,2026-04-12,3,CZ,quantile,0.35,2.969673156738281
2026-04-01,hospital admissions,2026-04-19,4,CZ,quantile,0.35,3.2413964271545406
2026-04-01,hospital admissions,2026-03-29,1,CZ,quantile,0.4,3.3877639770507812
2026-04-01,hospital admissions,2026-04-05,2,CZ,quantile,0.4,3.4509100914001465
2026-04-01,hospital admissions,2026-04-12,3,CZ,quantile,0.4,3.649108409881592
2026-04-01,hospital admissions,2026-04-19,4,CZ,quantile,0.4,3.9661812782287598
