"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2026-04-19,"CZ",0,"0.01",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",0,"0.025",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",0,"0.05",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",0,"0.1",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",0,"0.15",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",0,"0.2",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",1,"0.25",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",1,"0.3",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",1,"0.35",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",1,"0.4",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",1,"0.45",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",1,"0.5",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",1,"0.55",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",2,"0.6",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",2,"0.65",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",2,"0.7",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",2,"0.75",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",2,"0.8",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",3,"0.85",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",3,"0.9",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",4,"0.95",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",4,"0.975",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"CZ",5,"0.99",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",2,"0.01",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",2,"0.025",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",3,"0.05",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",4,"0.1",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",5,"0.15",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",5,"0.2",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",6,"0.25",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",7,"0.3",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",8,"0.35",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",8,"0.4",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",9,"0.45",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",10,"0.5",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",11,"0.55",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",12,"0.6",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",13,"0.65",2026-04-22,"quantile","hospital admissions",1
2026-04-19,"EE",14,"0.7",2026-04-22,"quantile","hospital admissions",1
