"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2026-05-03,"CZ",0,"0.01",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",0,"0.025",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",0,"0.05",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",0,"0.1",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",0,"0.15",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",0,"0.2",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",0,"0.25",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",0,"0.3",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",1,"0.35",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",1,"0.4",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",1,"0.45",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",1,"0.5",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",1,"0.55",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",1,"0.6",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",1,"0.65",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",2,"0.7",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",2,"0.75",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",2,"0.8",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",2,"0.85",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",3,"0.9",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",3,"0.95",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",4,"0.975",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"CZ",5,"0.99",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"PL",10,"0.01",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"PL",12,"0.025",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"PL",13.95,"0.05",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"PL",16,"0.1",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"PL",17,"0.15",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"PL",18,"0.2",2026-05-20,"quantile","hospital admissions",-1
2026-05-03,"PL",20,"0.25",2026-05-20,"quantile","hospital admissions",-1
